oldpart,newpart,position,age
1st phalanx,phalanx: 1st,,
1st phalanx dx/pair,,,
2nd & 3rd carpal sn,,,
2nd phalanx,phalanx: 2nd,,
2nd phalanx sn/pair,,,
3rd phalanx,phalanx: 3rd,,
4th tarsal,tarsal: 4th,,
antler,antler,,
Antler,antler,,
Astragalus,astragalus,,
Astragalus dex.,,,
Astragulus,astragalus,,
astrahalus,astragalus,,
Axis,,,
bone,[remove],,
Calcaneum,calcaneus,,
calcaneus,calcaneus,,
Calcaneus,calcaneus,,
calcaneus R,calcaneus,right,
Canine,canine,,
Carpal,carpal,,
Carpal/tarsal,tarsal/carpal,,
cervical vertebra,vertebra: cervical,,
Condylus occipitalis,condylus occipitalis,,
Costa affixi,,,
Cranium,cranium,,
cuerno,,,
Dentary,mandible,,
femur,femur,,
Femur,femur,,
Femur D,,,
Femur dex.,,,
Femur G,,,
First phalanx,phalanx: 1st,,
First Phalanx,phalanx: 1st,,
Frontal,,,
Hemimand. L,mandible: hemi,Left,
Hemimand. R,mandible: hemi,Right,
Hemimandible L,mandible: hemi,Left,
Hemimandible R,mandible: hemi,Right,
Horn,horn,,
Horncore,horn: horncore,,
humerus,humerus,,
Humerus,humerus,,
Humerus dex.,,,
humerus distal L,humerus: distal,Left,
humerus distal R,humerus: distal,Right,
humerus L,humerus,Left,
Humerus L,humerus,Left,
humerus R,humerus,Right,
Humerus R,humerus,Right,
Humerus sin.,,,
Humerus ,humerus,,
Humerus*,humerus,,
Humerus**,humerus,,
Humerus†,humerus,,
Ilium,,,
Innom,,,
L humerus,humerus,Left,
LLM2,,,
LLM3,,,
long bone,long bone,,
Long Bone,long bone,,
"Long Bone, foetus",long bone,,foetus
Longbone,long bone,,
lower canine,tooth: canine,lower,
lower M2,tooth: M2,lower,
LRM2,tooth: M2,lower,
LRM3,tooth: M3,lower,
lumbar vertebra,vertebra: lumbar,,
M,tooth: M,,
M2,tooth: M2,,
M3,tooth: M2,,
Malleolare,malleolar,,
mandible,mandible,,
Mandible,mandible,,
mandible L,mandible,left,
mandible L; M2,tooth: M2,left,
mandible L; M3,tooth: M3,left,
mandible R,mandible,right,
mandible R; M3,tooth: M3,right,
mandibula,mandible,,
Mandibula,mandible,,
Mandibula dex.,,,
Matacarpus,,,
maxilla,maxilla,,
Maxilla,maxilla,,
Maxilla ,maxilla,,
Maxillar,maxilla,,
Metacarp/metatars,tarsal/carpal,,
metacarpal,metacarpal,,
Metacarpal,metacarpal,,
metacarpal L,metacarpal,left,
metacarpal R,metacarpal,right,
metacarpus,metacarpal,,
Metacarpus,metacarpal,,
Metacarpus III,metacarpal: III,,
Metacarpus sin.,,,
metapodial,,,
Metapodial,,,
metatarsal,metatarsal,,
Metatarsal,metatarsal,,
metatarsal R,metatarsal,right,
Metatarsus,metatarsal,,
Metatarsus dex.,,,
Metatarsus ,metatarsal,,
Molar,tooth: M,,
n/a,[remove],,
Navicular,,,
Naviculocuboid sn,,,
Omoplate,,,
Operculum,operculum,,
Os frontale adult,,adult,
Os pyramidal,,,
pelvis,pelvis,,
Pelvis,pelvis,,
phalange,,,
Phalange,,,
Phalanx,,,
Phalanx 1,,,
Phalanx 2,,,
phalanx I,,,
Phalanx I,,,
Phalanx II,,,
"Phalanx, adult",,,adult
Pisiform sn,,,
post-cranial,,,
R femur,,,
radius,radius,,
Radius,radius,,
radius distal L,radius: distal,left,
radius distal R,radius: distal,right,
radius L,radius,left,
Radius L,radius,left,
radius proximal L,radius: proximal,left,
radius proximal R,radius: proximal,right,
Radius R,radius,right,
radius shaft L,radius: shaft,left,
radius shaft R,radius: shaft,right,
"Radius, adult",,,
rib,rib,,
Rib,rib,,
Sacrum,,,
scapula,scapula,,
Scapula,scapula,,
Scapula sin.,,,
Sésamoïde,,,
skull,skull,,
Skull,skull,,
Skull fragment,,,
Talus,,,
tibia,tibia,,
Tibia,tibia,,
Tibia dex.,,,
tibia distal L ,,left,
tibia distal R,,right,
tibia L,tibia,left,
tibia R,tibia,right,
Tibia sin.,,,
Tuberc. artic.,,,
Tuberc. Artic.,,,
Tuberc. artic. r.,,right,
ulna,ulna,,
Ulna,ulna,,
ulna distal L,ulna: distal,left,
ulna proximal R,ulna: proximal,right,
upper M3,M3,upper,
Vert. Cerv. IV/V,vertebra: cervical,,
vertebra,vertebra,,
Vertebra,vertebra,,
Vertebrum,vertebra,,
