"SiteID","SiteName","lat","lon","cultures","indivs","c14count","abo.sum","zoocount"
"S01007","Abbekås",55.4,13.6,"",0,1,0,0
"S01038","Ackes tomt",58.1,11.86,"",0,2,0,0
"S01042","Ageröd V",55.93,13.42,"Ertebolle",0,6,NA,0
"S01048","Ajvide",57.284,18.2,"Pitted Ware",0,12,0,32
"S01055","Alby",56.483,16.567,"",0,17,0,0
"S01076","Alvastra, V.Tollstad 12",58.28,14.68,"Trichterbecher;Pitted Ware",30,1,0,0
"S01077","Alvastra",58.3,14.65,"Pitted Ware",0,22,0,58
"S01082","Ängås",58.15,11.81,"Trichterbecher",0,3,0,0
"S01083","Ängdala",55.58,13.12,"",0,10,0,0
"S01116","Arlöv I",55.61,13.06,"Ertebolle",0,3,0,12
"S01132","Asige",56.88,12.73,"",0,1,0,0
"S01139","Äs",59.7,16.58,"",0,2,0,0
"S01144","Återvall",59.27,18.47,"",0,1,0,0
"S01147","Åttagården",58.16,13.57,"Trichterbecher",0,5,0,0
"S01218","Barnabro",57.12,12.27,"Pitted Ware",0,2,0,0
"S01225","Båtsberg",57.14,12.36,"Trichterbecher",0,1,0,0
"S01273","Berga",59.65,16.82,"",0,1,0,0
"S01308","Björkärr",56.11,15.81,"Pitted Ware",0,3,0,0
"S01309","Bjurhovda",59.63,16.61,"",0,3,0,0
"S01310","Bjurselet",65,21.08,"Corded Ware",0,2,0,0
"S01329","Bökeberg III",55.55,13.21,"Ertebolle",0,12,0,13
"S01359","Breared",56.73,13.11,"",0,3,0,0
"S01361","Bredasten",55.45,13.91,"Ertebolle",0,2,0,14
"S01375","Bronsyxegatan",55.56,13.04,"",0,1,0,0
"S01394","Bultoftagården",55.59,13.07,"Ertebolle;Kongemose",0,2,0,0
"S01461","Carlshögen",55.41,14.14,"",0,3,0,0
"S01746","Dragby",59.98,17.57,"",0,1,0,0
"S01819","Elinelund",55.563,12.95,"Ertebolle;Trichterbecher",0,2,0,8
"S01864","Evensås, Skaftö",58.24,11.47,"Trichterbecher;Pitted Ware",2,2,0,0
"S01870","Fågelbacken",55.59,12.96,"Trichterbecher",0,15,0,0
"S01871","Fagervik",58.66,16.41,"Pitted Ware",0,2,0,0
"S01873","Fairyhill",55.9,13.41,"",0,5,0,0
"S01877","Fårabacken",55.75,12.98,"Corded Ware",0,1,0,0
"S01959","Fridhem",56.183,14.858,"",0,2,0,0
"S01965","Frotorp",58.05,12.75,"Trichterbecher",0,12,0,0
"S02023","Gladsax 8",55.57,14.27,"",0,1,0,0
"S02035","Gökhem",58.183,13.4,"Trichterbecher",0,13,0,0
"S02051","Göteborg 23:856",57.71,11.967,"",0,1,0,0
"S02083","Gröninge",57.91,15.9,"Pitted Ware",0,1,0,0
"S02169","Hagestad 2:2",55.433,14.133,"",0,1,0,0
"S02170","Hagestad 22:8",55.433,14.133,"",0,1,0,0
"S02171","Hagestad 7:3b",55.433,14.133,"",0,1,0,0
"S02172","Hagestad 98:1A",55.433,14.133,"",0,1,0,0
"S02178","Hallehög",57.38,11.99,"",0,2,0,0
"S02180","Hallonflickan",58.11,13.52,"Trichterbecher",1,5,0,0
"S02225","Hemmor",57.23,18.58,"Pitted Ware",0,1,0,0
