"SiteID","SiteName","Region","Latitude","Longitude","Country","Notes","time_added","user_added","time_last_update","user_last_update"
"S01449","Cap Ragnon cave",NA,43.35,5.27,"France",NA,NA,NA,NA,NA
"S03348","Polling",NA,48.21,12.559,"Germany",NA,NA,NA,NA,NA
"S04509","Hanau-Mittelbuchen",NA,50.181,8.888,"Germany",NA,NA,NA,NA,NA
"S04511","Sondershausen",NA,51.373,10.881,"Germany",NA,NA,NA,NA,NA
"S04512","Sondershausen-Wippertal",NA,51.371,10.884,"Germany",NA,NA,NA,NA,NA
"S04514","Bruchstedt ""Gräberfeld""",NA,51.184,10.778,"Germany",NA,NA,NA,NA,NA
"S04520","Prutting-Dobl",NA,47.888,12.146,"Germany",NA,NA,NA,NA,NA
"S04523","Bargenstedt",NA,54.09,9.15,"Germany",NA,NA,NA,NA,NA
"S04524","Kiel-Meimersdorfer Weg",NA,54.283,10.102,"Germany",NA,NA,NA,NA,NA
"S04525","Bad Schwartau-Rensefeld",NA,53.921,10.073,"Germany",NA,NA,NA,NA,NA
"S04526","Kiel-Wasserwerk Schulensee",NA,54.288,10.092,"Germany",NA,NA,NA,NA,NA
"S04527","Suesel-Kesdorf ""Kiesgrube""",NA,54.069,10.655,"Germany",NA,NA,NA,NA,NA
"S04528","Ballacottier","Isle of Man",54.15,-4.483,"Isle of Man",NA,NA,NA,"2023-07-24 14:45:56","robert@localhost"
"S04530","Ballateare","Isle of Man",54.15,-4.483,"Isle of Man",NA,NA,NA,"2023-07-24 14:45:55","robert@localhost"
"S04531","Ballavarry","Isle of Man",54.15,-4.483,"Isle of Man",NA,NA,NA,"2023-07-24 14:45:55","robert@localhost"
"S04532","Glencrutchery","Isle of Man",54.15,-4.483,"Isle of Man",NA,NA,NA,"2023-07-24 14:45:54","robert@localhost"
"S04534","Mull Hill Circle","Isle of Man",54.15,-4.483,"Isle of Man",NA,NA,NA,"2023-07-24 14:45:54","robert@localhost"
"S04535","Ronaldsway House","Isle of Man",54.15,-4.483,"Isle of Man",NA,NA,NA,"2023-07-24 14:45:53","robert@localhost"
"S04537","Northon",NA,57.808,-7.094,"Great Britain",NA,NA,NA,NA,NA
"S04538","Courcelles-sur-Viosne",NA,49.07,2,"France",NA,NA,NA,NA,NA
"S04539","Chérence",NA,49.088,1.676,"France",NA,NA,NA,NA,NA
"S04542","Boury-en-Vexin",NA,49.24,1.73,"France",NA,NA,NA,"2023-04-20 14:05:31","Rscripts@localhost"
"S04543","Baden",NA,48,16.23,"Austria",NA,NA,NA,NA,NA
"S04544","Praha-Bubenec",NA,50.121,14.391,"Czechia / Czech Republic",NA,"2022-05-26 15:03:43","robert@localhost","2022-05-26 16:03:43","robert@localhost"
